t,True,Euler,RK4
0.0,0.5,0.5,0.5
0.05,0.5496948633657418,0.5475,0.5496948327084015
0.1,0.6040148513768578,0.5992524375,0.6040147852710676
0.15000000000000002,0.6633258836535353,0.6555866464115031,0.6633257769521143
0.2,0.7280096915005272,0.7168473725431226,0.7280095387256308
0.25,0.7984616815180757,0.783393408242215,0.7984614768995214
0.30000000000000004,0.8750880819853626,0.855595696745663,0.8750878195134499
0.35000000000000003,0.9583022773245918,0.9338348264573324,0.9583019508187397
0.4,1.0485202407751006,1.0184978342720197,1.04851984396922
0.45,1.1461549863791238,1.1099742393150538,1.1461545130240767
0.5,1.251609979983353,1.2086512351271288,1.2516094239661077
0.55,1.3652714766272418,1.3149079805580983,1.3652708321054268
0.6000000000000001,1.487499789642449,1.4291089486405544,1.4874990511919681
0.65,1.6186195458196357,1.5515963196337648,1.6186187085918606
0.7000000000000001,1.758909041203891,1.6826814402061308,1.7589081010877872
0.75,1.9085888825601176,1.822635415934602,1.908587836343567
0.8,2.0678101781178526,1.9716789589338712,2.0678090236415003
0.8500000000000001,2.236642624138977,2.129971675656233,2.2366413604352813
0.9,2.415062915758573,2.2976010498308783,2.415061543168468
0.9500000000000001,2.6029439844127884,2.4745714489721267,2.6029425046725785
1.0,2.8000456216507392,2.660793555308659,2.800044037942526
1.05,3.006007081178494,2.856074687399804,3.0060053981386967
1.1,3.2203422487615767,3.0601105299397258,3.2203404724437887
1.1500000000000001,3.4424379256841755,3.2724788183792186,3.4424360634747186
1.2000000000000002,3.671555681146765,3.492635524049734,3.6715537416336765
1.25,3.906837591648695,3.719914047416166,3.9068355844474163
1.3,4.147316005472132,3.953527846956141,4.147313941013658
1.35,4.3919272577795745,4.192576807285178,4.3919251470692
1.4000000000000001,4.639529031646792,4.436057485163841,4.639526886003573
1.4500000000000002,4.888920831622429,4.682877173563443,4.888918662411002
1.5,5.1388668301168545,4.931871504692972,5.138864648484163
1.55,5.38812018340366,5.181825089774244,5.388118000033129
1.6,5.635447810184569,5.4314944861415295,5.635445635079485
1.6500000000000001,5.879654592596254,5.679632611225824,5.879652434902304
1.7000000000000002,6.119606000803019,5.925013606363408,6.119603868677306
1.75,6.354248253462379,6.1664571046438335,6.354246153992953
1.8,6.582625295548307,6.402850882874093,6.582623234724616
1.85,6.803892084842304,6.6331709768782865,6.803890067573353
1.9000000000000001,7.017323908317883,6.856498502481111,7.017321938491763
1.9500000000000002,7.222321678762246,7.072032635583965,7.222319759338257
2.0,7.418413371607367,7.279099443154715,7.418411504730587
2.0500000000000003,7.605251937524898,7.477156500436834,7.605250124652706
2.1,7.782610158564812,7.6657934571602695,7.78260840059554
2.15,7.950373000659347,7.844728909597885,7.95037129805468
2.2,8.10852805430978,8.013804083906866,8.108526407204527
2.25,8.257154653278878,8.172973933345128,8.257153061573916
2.3000000000000003,8.39641222578193,8.322296297528252,8.396410689218282
2.35,8.52652837292307,8.461919770642552,8.526526891136982
2.4000000000000004,8.64778709397354,8.592070885658895,8.647785666533888
2.45,8.76051749574879,8.713041153182912,8.760516122179219
2.5,8.86508324065742,8.825174407130612,8.865081920446135
2.5500000000000003,8.961872910172092,8.928854814680943,8.961871642772516
2.6,9.05129139105336,9.024495813132527,9.051290175878625
2.6500000000000004,9.133752332671216,9.112530147633315,9.133751169085237
2.7,9.209671675989608,9.193401105481385,9.209670563296923
2.75,9.279462218018793,9.26755497716686,9.279461155454927
2.8000000000000003,9.343529148947896,9.335434722335444,9.343528135671418
2.85,9.402266481488962,9.397474780019126,9.402265516576014
2.9000000000000004,9.456054281748463,9.454096935610083,9.456053364190076
2.95,9.505256606715708,9.505707140491973,9.50525573541801
3.0,9.550220053824841,9.55269317213317,9.550219227611926
3.0500000000000003,9.591272831760405,9.59542302093729,9.591272049379583
3.1,9.628724267672098,9.634243893523685,9.628723527801077
3.1500000000000004,9.662864673369642,9.66948172887707,9.6628639746252
3.2,9.693965501196216,9.701441132713903,9.693964842143929
3.25,9.722279728607482,9.730405645470162,9.722279107772057
3.3000000000000003,9.748042418635517,9.756638269763203,9.74804183451135
3.35,9.771471411134614,9.780382193469444,9.771470862196297
3.4000000000000004,9.792768106826186,9.801861654313047,9.792767591538638
3.45,9.812118312592908,9.821282900841426,9.812117829420965
3.5,9.829693122183958,9.838835212741968,9.829692669601256
3.5500000000000003,9.845649811487995,9.854691950581252,9.845649387985036
3.6,9.860132731840256,9.869011611230867,9.860132335931612
3.6500000000000004,9.873274188503364,9.881938870527858,9.873273818733981
3.7,9.885195294556054,9.89360559917215,9.885194949506662
3.75,9.896006793002359,9.90413184156966,9.896006471294003
3.8000000000000003,9.905809842038076,9.913626750374686,9.905809542335824
3.85,9.914696760141636,9.92218947195471,9.914696481157504
3.9000000000000004,9.922751729048656,9.929909979976491,9.922751469543826
3.95,9.930051453774647,9.936869855869773,9.930051212561018
4.0,9.936665779714016,9.943143016131817,9.93666555565518
4.05,9.9426582675061,9.94879638735249,9.942658059517798
4.1000000000000005,9.948086726855456,9.953890530517759,9.948086533905574
4.15,9.953003710854112,9.958480216634223,9.953003531962294
4.2,9.957456972603945,9.962614956046693,9.957456806840868
4.25,9.961489886099228,9.966339484026909,9.961489732585594
4.3,9.965141833421212,9.969694205320863,9.965141691326519
4.3500000000000005,9.96844856033348,9.972715600376866,9.968448428874591
4.4,9.971442502361144,9.975436595954552,9.971442380800731
4.45,9.97415308339937,9.977886902750914,9.974152971044212
4.5,9.976606988835103,9.980093322585123,9.976606885034345
4.55,9.978828415087657,9.982080027568554,9.978828319230988
4.6000000000000005,9.980839297383644,9.983868813557578,9.980839208899456
4.65,9.982659517484608,9.98547933005006,9.982659435838137
4.7,9.984307092984546,9.986929288546497,9.98430701767603
4.75,9.985798349692082,9.988234651256867,9.98579828025494
4.800000000000001,9.987148078510414,9.989409801896871,9.98714801450944
4.8500000000000005,9.988369678128572,9.990467700184226,9.988369619158204
4.9,9.989475284741484,9.991420021518406,9.98947523042409
4.95,9.99047588992403,9.992277283206258,9.99047583990827
5.0,9.991381447696844,9.993048958482085,9.991381401656085
